Indice,Etiquetas
1,"['Medio Ambiente', 'Ciencia y Salud', 'ciencia']"
4,"['Coronavirus', 'Covid 19', 'Ciencia y Salud', 'Variante Ómicron']"
5,"['Coronavirus', 'Covid 19', 'Ciencia y Salud', 'Variante Ómicron', 'HBPR']"
6,"['Ciencia y Salud', 'Coronavirus', 'Covid 19', 'Enfermedades infecciosas', 'Enfermedades respiratorias', 'HBPR']"
7,"['Medio Ambiente', 'Ciencia y Salud', 'ciencia']"
8,"['Ciencia y Salud', 'ciencia']"
10,"['Ciencia y Salud', 'Coronavirus', 'Covid 19', 'Variante Ómicron']"
11,"['Coronavirus', 'Covid 19']"
12,"['Ciencia y Salud', 'Covid 19', 'Coronavirus', 'Enfermedades infecciosas']"
13,"['Ciencia y Salud', 'Covid 19', 'Coronavirus', 'Enfermedades infecciosas', 'Enfermedades respiratorias', 'Vacunas', 'HBPR']"
15,"['Ciencia y Salud', 'Coronavirus', 'Covid 19', 'Enfermedades infecciosas', 'Enfermedades respiratorias', 'Reino Unido', 'Vacunas', 'Variante Ómicron']"
18,"['Coronavirus', 'Covid 19']"
19,"['Estados Unidos', 'Coronavirus', 'Variante Ómicron', 'Covid 19', 'Vacunas']"
20,['Ciencia y Salud']
21,"['Coronavirus', 'Covid 19', 'Ciencia y Salud']"
22,"['Coronavirus', 'Covid 19', 'Diabetes', 'Ciencia y Salud', 'HBPR']"
23,"['Coronavirus', 'Covid 19']"
24,"['Ciencia y Salud', 'Coronavirus', 'Covid 19', 'Enfermedades infecciosas', 'Enfermedades respiratorias', 'Reino Unido', 'Vacunas', 'Variante Ómicron']"
26,"['Drogas', 'Sanidad']"
27,"['Coronavirus', 'Covid 19', 'Variante Ómicron', 'Ciencia y Salud', 'HBPR']"
28,"['Ciencia y Salud', 'Covid 19', 'Coronavirus', 'Vacunas', 'difteria', 'España', 'Gripe']"
29,['ciencia']
30,"['Ciencia y Salud', 'Coronavirus', 'España', 'Chile', 'Estados Unidos', 'China', 'Israel', 'Madrid', 'Covid 19', 'Enfermedades infecciosas', 'Enfermedades respiratorias', 'HBPR']"
31,"['Coronavirus', 'Covid 19', 'Ciencia y Salud', 'Variante Ómicron']"
32,"['Coronavirus', 'Joe Biden', 'Variante Ómicron', 'Covid 19']"
33,"['Coronavirus', 'Covid 19']"
34,['Ciencia y Salud']
35,"['Ciencia y Salud', 'Coronavirus', 'Covid 19', 'Estados Unidos', 'Vacuna Pfizer', 'Variante Ómicron']"
37,"['Coronavirus', 'Covid 19', 'Ciencia y Salud']"
38,"['HBPR', 'Variante Ómicron', 'Coronavirus', 'Covid 19', 'Ciencia y Salud']"
39,"['HBPR', 'Coronavirus', 'Covid 19', 'Ciencia y Salud']"
40,"['Ciencia y Salud', 'Coronavirus', 'Covid 19', 'Enfermedades infecciosas', 'Enfermedades respiratorias', 'Vacunas', 'Variante Ómicron', 'HBPR']"
41,"['Medio Ambiente', 'Coches eléctricos']"
42,"['Variante Delta', 'Coronavirus', 'Variante Ómicron', 'Covid 19']"
43,"['Coronavirus', 'Chipre', 'Variante Ómicron', 'Variante Delta', 'Covid 19']"
44,"['Coronavirus', 'Covid 19', 'Ciencia y Salud', 'España', 'Variante Ómicron']"
45,"['Reino Unido', 'Londres']"
46,"['Ciencia y Salud', 'Coronavirus', 'Covid 19', 'Enfermedades infecciosas', 'Enfermedades respiratorias', 'Vacunas']"
48,['Ciencia y Salud']
49,"['Coronavirus', 'Covid 19', 'Ciencia y Salud', 'España', 'Variante Ómicron']"
50,"['España', 'Coronavirus', 'Covid 19', 'Enfermedades infecciosas']"
